N= 1400   Tipo=2 (coordenadas XY)
   1291.73   1900.44
   1268.09   1900.44
   1309.47   1894.53
   1002.05   1894.53
    978.41   1882.72
   1090.73   1876.82
   1569.59   1870.91
   1522.30   1870.91
   1155.76   1870.91
    576.40   1870.91
    529.11   1870.91
   1185.32   1865.01
   1090.73   1865.01
   1729.21   1746.91
    736.02   1746.91
   2054.36   1516.61
   1167.59   1516.61
   1185.32   1487.08
    310.37   1487.08
   1185.32   1475.28
    611.87   1422.13
    617.79   1416.22
    540.93   1410.32
    605.96   1392.60
    582.32   1392.60
   1149.85   1274.50
    759.67   1274.50
    582.32   1274.50
   1031.61   1227.26
    540.93   1221.36
   1268.09   1156.40
   2054.36   1150.50
   1167.59   1150.50
   1279.91   1144.59
   1185.32   1050.11
   1173.50   1002.87
   1664.18    996.97
   1179.41    996.97
   1327.20    802.10
   1232.62    802.10
   1090.73    802.10
    984.32    802.10
   1179.41    796.20
   1167.59    796.20
   1084.82    796.20
   1061.17    796.20
   1232.62    790.29
   1262.18    784.39
   1155.76    784.39
   1132.11    784.39
   1049.35    784.39
   1220.79    778.48
   1138.03    778.48
   1019.79    778.48
   1203.06    772.58
   1149.85    766.67
   1114.38    766.67
   1309.47    760.77
   1143.94    760.77
   1049.35    760.77
   1208.97    754.86
   1185.32    754.86
   1126.20    754.86
   1102.56    754.86
   1090.73    754.86
   1067.08    754.86
   1037.53    748.96
   1043.44    743.05
   1031.61    743.05
   1291.73    731.24
   1232.62    731.24
    310.37    601.33
   1229.66   1944.73
   1099.60   1932.92
   1206.01   1921.11
    981.36   1921.11
   1146.90   1909.30
   1028.66   1909.30
   1075.95   1885.68
    981.36   1885.68
   2057.32   1519.56
    981.36    799.15
    981.36    775.53
    307.42    598.38
   1164.63   1968.35
   1070.04   1968.35
   1052.31   1962.44
   1732.17   1956.54
   1271.04   1956.54
   1247.40   1956.54
   1022.75   1956.54
    738.98   1956.54
   1046.39   1944.73
   1247.40   1932.92
   1164.63   1932.92
   1117.33   1932.92
   1070.04   1932.92
   1099.60   1927.01
   1093.69   1921.11
   1046.39   1921.11
   1223.75   1909.30
   1117.33   1909.30
    999.10   1909.30
   1294.69   1897.48
   1271.04   1897.48
   1188.28   1897.48
    999.10   1897.48
   1294.69   1885.68
   1566.64   1873.86
   1519.34   1873.86
   1093.69   1873.86
    573.45   1873.86
    526.15   1873.86
   1726.25   1749.86
    733.07   1749.86
   1188.28   1649.47
   1164.63   1519.56
    307.42   1490.04
    608.92   1425.08
   1028.66   1419.18
    620.74   1413.27
    597.09   1413.27
    537.98   1413.27
    608.92   1389.65
   1152.81   1271.55
    762.63   1271.55
    750.80   1271.55
   1271.04   1247.93
   1282.87   1224.31
   1034.57   1224.31
    656.21   1153.45
   2057.32   1147.55
   1188.28   1047.16
   1170.54   1005.83
   1661.22    999.92
   1182.37    994.01
   1613.93    976.30
   1164.63    799.15
   1093.69    799.15
   1081.86    799.15
   1034.57    799.15
   1229.66    793.24
   1271.04    787.34
   1259.22    787.34
   1129.16    787.34
   1105.51    787.34
   1034.57    787.34
   1217.84    781.43
   1052.31    781.43
   1235.57    775.53
   1188.28    775.53
   1093.69    775.53
   1022.75    775.53
   1206.01    769.62
   1075.95    769.62
   1052.31    769.62
   1235.57    763.72
   1211.93    763.72
   1188.28    763.72
   1152.81    763.72
   1117.33    763.72
   1176.45    751.91
   1129.16    751.91
   1105.51    751.91
   1034.57    751.91
   1022.75    751.91
   1176.45    562.95
   1631.67   2051.02
   1631.67   2039.21
   1631.67   2027.40
   1619.84   2051.02
   1619.84   2039.21
   1619.84   2027.40
   1608.02   2051.02
   1608.02   2039.21
   1608.02   2027.40
   1596.19   2051.02
   1596.19   2039.21
   1596.19   2027.40
   1584.37   2051.02
   1584.37   2039.21
   1584.37   2027.40
   1572.55   2051.02
   1572.55   2039.21
   1572.55   2027.40
   1560.72   2051.02
   1560.72   2039.21
   1560.72   2027.40
   1548.90   2051.02
   1548.90   2039.21
   1548.90   2027.40
   1537.08   2051.02
   1537.08   2039.21
   1537.08   2027.40
   1525.25   2051.02
   1525.25   2039.21
   1525.25   2027.40
   1513.43   2051.02
   1513.43   2039.21
   1513.43   2027.40
   1501.60   2051.02
   1501.60   2039.21
   1501.60   2027.40
   1489.78   2051.02
   1489.78   2039.21
   1489.78   2027.40
   1625.75   2045.11
   1625.75   2033.30
   1613.93   2045.11
   1613.93   2033.30
   1602.11   2045.11
   1602.11   2033.30
   1590.28   2045.11
   1590.28   2033.30
   1578.46   2045.11
   1578.46   2033.30
   1566.64   2045.11
   1566.64   2033.30
   1554.81   2045.11
   1554.81   2033.30
   1542.99   2045.11
   1542.99   2033.30
   1531.16   2045.11
   1531.16   2033.30
   1519.34   2045.11
   1519.34   2033.30
   1507.52   2045.11
   1507.52   2033.30
   1495.69   2045.11
   1495.69   2033.30
   1625.75   2051.02
   1625.75   2039.21
   1625.75   2027.40
   1613.93   2051.02
   1613.93   2039.21
   1613.93   2027.40
   1602.11   2051.02
   1602.11   2039.21
   1602.11   2027.40
   1590.28   2051.02
   1590.28   2039.21
   1590.28   2027.40
   1578.46   2051.02
   1578.46   2039.21
   1578.46   2027.40
   1566.64   2051.02
   1566.64   2039.21
   1566.64   2027.40
   1554.81   2051.02
   1554.81   2039.21
   1554.81   2027.40
   1542.99   2051.02
   1542.99   2039.21
   1542.99   2027.40
   1531.16   2051.02
   1531.16   2039.21
   1531.16   2027.40
   1519.34   2051.02
   1519.34   2039.21
   1519.34   2027.40
   1507.52   2051.02
   1507.52   2039.21
   1507.52   2027.40
   1495.69   2051.02
   1495.69   2039.21
   1495.69   2027.40
   1631.67   2045.11
   1631.67   2033.30
   1619.84   2045.11
   1619.84   2033.30
   1608.02   2045.11
   1608.02   2033.30
   1596.19   2045.11
   1596.19   2033.30
   1584.37   2045.11
   1584.37   2033.30
   1572.55   2045.11
   1572.55   2033.30
   1560.72   2045.11
   1560.72   2033.30
   1548.90   2045.11
   1548.90   2033.30
   1537.08   2045.11
   1537.08   2033.30
   1525.25   2045.11
   1525.25   2033.30
   1513.43   2045.11
   1513.43   2033.30
   1501.60   2045.11
   1501.60   2033.30
   1489.78   2045.11
   1489.78   2033.30
   1628.71   2048.06
   1628.71   2036.25
   1616.89   2048.06
   1616.89   2036.25
   1605.06   2048.06
   1605.06   2036.25
   1593.24   2048.06
   1593.24   2036.25
   1581.41   2048.06
   1581.41   2036.25
   1569.59   2048.06
   1569.59   2036.25
   1557.77   2048.06
   1557.77   2036.25
   1545.94   2048.06
   1545.94   2036.25
   1534.12   2048.06
   1534.12   2036.25
   1522.30   2048.06
   1522.30   2036.25
   1510.47   2048.06
   1510.47   2036.25
   1498.65   2048.06
   1498.65   2036.25
   1622.80   2042.16
   1622.80   2030.35
   1610.97   2042.16
   1610.97   2030.35
   1599.15   2042.16
   1599.15   2030.35
   1587.33   2042.16
   1587.33   2030.35
   1575.50   2042.16
   1575.50   2030.35
   1563.68   2042.16
   1563.68   2030.35
   1551.85   2042.16
   1551.85   2030.35
   1540.03   2042.16
   1540.03   2030.35
   1528.21   2042.16
   1528.21   2030.35
   1516.38   2042.16
   1516.38   2030.35
   1504.56   2042.16
   1504.56   2030.35
   1492.74   2042.16
   1492.74   2030.35
   1628.71   2042.16
   1628.71   2030.35
   1616.89   2042.16
   1616.89   2030.35
   1605.06   2042.16
   1605.06   2030.35
   1593.24   2042.16
   1593.24   2030.35
   1581.41   2042.16
   1581.41   2030.35
   1569.59   2042.16
   1569.59   2030.35
   1557.77   2042.16
   1557.77   2030.35
   1545.94   2042.16
   1545.94   2030.35
   1534.12   2042.16
   1534.12   2030.35
   1522.30   2042.16
   1522.30   2030.35
   1510.47   2042.16
   1510.47   2030.35
   1498.65   2042.16
   1498.65   2030.35
   1622.80   2048.06
   1622.80   2036.25
   1610.97   2048.06
   1610.97   2036.25
   1599.15   2048.06
   1599.15   2036.25
   1587.33   2048.06
   1587.33   2036.25
   1575.50   2048.06
   1575.50   2036.25
   1563.68   2048.06
   1563.68   2036.25
   1551.85   2048.06
   1551.85   2036.25
   1540.03   2048.06
   1540.03   2036.25
   1528.21   2048.06
   1528.21   2036.25
   1516.38   2048.06
   1516.38   2036.25
   1504.56   2048.06
   1504.56   2036.25
   1492.74   2048.06
   1492.74   2036.25
    650.30   2051.02
    650.30   2039.21
    650.30   2027.40
    638.48   2051.02
    638.48   2039.21
    638.48   2027.40
    626.66   2051.02
    626.66   2039.21
    626.66   2027.40
    614.83   2051.02
    614.83   2039.21
    614.83   2027.40
    603.01   2051.02
    603.01   2039.21
    603.01   2027.40
    591.18   2051.02
    591.18   2039.21
    591.18   2027.40
    579.36   2051.02
    579.36   2039.21
    579.36   2027.40
    567.54   2051.02
    567.54   2039.21
    567.54   2027.40
    555.71   2051.02
    555.71   2039.21
    555.71   2027.40
    543.89   2051.02
    543.89   2039.21
    543.89   2027.40
    532.07   2051.02
    532.07   2039.21
    532.07   2027.40
    520.24   2051.02
    520.24   2039.21
    520.24   2027.40
    508.42   2051.02
    508.42   2039.21
    508.42   2027.40
    644.39   2045.11
    644.39   2033.30
    632.57   2045.11
    632.57   2033.30
    620.74   2045.11
    620.74   2033.30
    608.92   2045.11
    608.92   2033.30
    597.10   2045.11
    597.10   2033.30
    585.27   2045.11
    585.27   2033.30
    573.45   2045.11
    573.45   2033.30
    561.63   2045.11
    561.63   2033.30
    549.80   2045.11
    549.80   2033.30
    537.98   2045.11
    537.98   2033.30
    526.15   2045.11
    526.15   2033.30
    514.33   2045.11
    514.33   2033.30
    644.39   2051.02
    644.39   2039.21
    644.39   2027.40
    632.57   2051.02
    632.57   2039.21
    632.57   2027.40
    620.74   2051.02
    620.74   2039.21
    620.74   2027.40
    608.92   2051.02
    608.92   2039.21
    608.92   2027.40
    597.10   2051.02
    597.10   2039.21
    597.10   2027.40
    585.27   2051.02
    585.27   2039.21
    585.27   2027.40
    573.45   2051.02
    573.45   2039.21
    573.45   2027.40
    561.63   2051.02
    561.63   2039.21
    561.63   2027.40
    549.80   2051.02
    549.80   2039.21
    549.80   2027.40
    537.98   2051.02
    537.98   2039.21
    537.98   2027.40
    526.15   2051.02
    526.15   2039.21
    526.15   2027.40
    514.33   2051.02
    514.33   2039.21
    514.33   2027.40
    650.30   2045.11
    650.30   2033.30
    638.48   2045.11
    638.48   2033.30
    626.66   2045.11
    626.66   2033.30
    614.83   2045.11
    614.83   2033.30
    603.01   2045.11
    603.01   2033.30
    591.18   2045.11
    591.18   2033.30
    579.36   2045.11
    579.36   2033.30
    567.54   2045.11
    567.54   2033.30
    555.71   2045.11
    555.71   2033.30
    543.89   2045.11
    543.89   2033.30
    532.07   2045.11
    532.07   2033.30
    520.24   2045.11
    520.24   2033.30
    508.42   2045.11
    508.42   2033.30
    647.35   2048.06
    647.35   2036.25
    635.52   2048.06
    635.52   2036.25
    623.70   2048.06
    623.70   2036.25
    611.88   2048.06
    611.88   2036.25
    600.05   2048.06
    600.05   2036.25
    588.23   2048.06
    588.23   2036.25
    576.40   2048.06
    576.40   2036.25
    564.58   2048.06
    564.58   2036.25
    552.76   2048.06
    552.76   2036.25
    540.93   2048.06
    540.93   2036.25
    529.11   2048.06
    529.11   2036.25
    517.29   2048.06
    517.29   2036.25
    641.43   2042.16
    641.43   2030.35
    629.61   2042.16
    629.61   2030.35
    617.79   2042.16
    617.79   2030.35
    605.96   2042.16
    605.96   2030.35
    594.14   2042.16
    594.14   2030.35
    582.32   2042.16
    582.32   2030.35
    570.49   2042.16
    570.49   2030.35
    558.67   2042.16
    558.67   2030.35
    546.84   2042.16
    546.84   2030.35
    535.02   2042.16
    535.02   2030.35
    523.20   2042.16
    523.20   2030.35
    511.37   2042.16
    511.37   2030.35
    647.35   2042.16
    647.35   2030.35
    635.52   2042.16
    635.52   2030.35
    623.70   2042.16
    623.70   2030.35
    611.88   2042.16
    611.88   2030.35
    600.05   2042.16
    600.05   2030.35
    588.23   2042.16
    588.23   2030.35
    576.40   2042.16
    576.40   2030.35
    564.58   2042.16
    564.58   2030.35
    552.76   2042.16
    552.76   2030.35
    540.93   2042.16
    540.93   2030.35
    529.11   2042.16
    529.11   2030.35
    517.29   2042.16
    517.29   2030.35
    641.43   2048.06
    641.43   2036.25
    629.61   2048.06
    629.61   2036.25
    617.79   2048.06
    617.79   2036.25
    605.96   2048.06
    605.96   2036.25
    594.14   2048.06
    594.14   2036.25
    582.32   2048.06
    582.32   2036.25
    570.49   2048.06
    570.49   2036.25
    558.67   2048.06
    558.67   2036.25
    546.84   2048.06
    546.84   2036.25
    535.02   2048.06
    535.02   2036.25
    523.20   2048.06
    523.20   2036.25
    511.37   2048.06
    511.37   2036.25
   1631.67    173.21
   1631.67    161.40
   1631.67    149.60
   1619.84    173.21
   1619.84    161.40
   1619.84    149.60
   1608.02    173.21
   1608.02    161.40
   1608.02    149.60
   1596.19    173.21
   1596.19    161.40
   1596.19    149.60
   1584.37    173.21
   1584.37    161.40
   1584.37    149.60
   1572.55    173.21
   1572.55    161.40
   1572.55    149.60
   1560.72    173.21
   1560.72    161.40
   1560.72    149.60
   1548.90    173.21
   1548.90    161.40
   1548.90    149.60
   1537.08    173.21
   1537.08    161.40
   1537.08    149.60
   1525.25    173.21
   1525.25    161.40
   1525.25    149.60
   1513.43    173.21
   1513.43    161.40
   1513.43    149.60
   1501.60    173.21
   1501.60    161.40
   1501.60    149.60
   1489.78    173.21
   1489.78    161.40
   1489.78    149.60
   1625.75    167.31
   1625.75    155.50
   1613.93    167.31
   1613.93    155.50
   1602.11    167.31
   1602.11    155.50
   1590.28    167.31
   1590.28    155.50
   1578.46    167.31
   1578.46    155.50
   1566.64    167.31
   1566.64    155.50
   1554.81    167.31
   1554.81    155.50
   1542.99    167.31
   1542.99    155.50
   1531.16    167.31
   1531.16    155.50
   1519.34    167.31
   1519.34    155.50
   1507.52    167.31
   1507.52    155.50
   1495.69    167.31
   1495.69    155.50
   1625.75    173.21
   1625.75    161.40
   1625.75    149.60
   1613.93    173.21
   1613.93    161.40
   1613.93    149.60
   1602.11    173.21
   1602.11    161.40
   1602.11    149.60
   1590.28    173.21
   1590.28    161.40
   1590.28    149.60
   1578.46    173.21
   1578.46    161.40
   1578.46    149.60
   1566.64    173.21
   1566.64    161.40
   1566.64    149.60
   1554.81    173.21
   1554.81    161.40
   1554.81    149.60
   1542.99    173.21
   1542.99    161.40
   1542.99    149.60
   1531.16    173.21
   1531.16    161.40
   1531.16    149.60
   1519.34    173.21
   1519.34    161.40
   1519.34    149.60
   1507.52    173.21
   1507.52    161.40
   1507.52    149.60
   1495.69    173.21
   1495.69    161.40
   1495.69    149.60
   1631.67    167.31
   1631.67    155.50
   1619.84    167.31
   1619.84    155.50
   1608.02    167.31
   1608.02    155.50
   1596.19    167.31
   1596.19    155.50
   1584.37    167.31
   1584.37    155.50
   1572.55    167.31
   1572.55    155.50
   1560.72    167.31
   1560.72    155.50
   1548.90    167.31
   1548.90    155.50
   1537.08    167.31
   1537.08    155.50
   1525.25    167.31
   1525.25    155.50
   1513.43    167.31
   1513.43    155.50
   1501.60    167.31
   1501.60    155.50
   1489.78    167.31
   1489.78    155.50
   1628.71    170.26
   1628.71    158.45
   1616.89    170.26
   1616.89    158.45
   1605.06    170.26
   1605.06    158.45
   1593.24    170.26
   1593.24    158.45
   1581.41    170.26
   1581.41    158.45
   1569.59    170.26
   1569.59    158.45
   1557.77    170.26
   1557.77    158.45
   1545.94    170.26
   1545.94    158.45
   1534.12    170.26
   1534.12    158.45
   1522.30    170.26
   1522.30    158.45
   1510.47    170.26
   1510.47    158.45
   1498.65    170.26
   1498.65    158.45
   1622.80    164.36
   1622.80    152.55
   1610.97    164.36
   1610.97    152.55
   1599.15    164.36
   1599.15    152.55
   1587.33    164.36
   1587.33    152.55
   1575.50    164.36
   1575.50    152.55
   1563.68    164.36
   1563.68    152.55
   1551.85    164.36
   1551.85    152.55
   1540.03    164.36
   1540.03    152.55
   1528.21    164.36
   1528.21    152.55
   1516.38    164.36
   1516.38    152.55
   1504.56    164.36
   1504.56    152.55
   1492.74    164.36
   1492.74    152.55
   1628.71    164.36
   1628.71    152.55
   1616.89    164.36
   1616.89    152.55
   1605.06    164.36
   1605.06    152.55
   1593.24    164.36
   1593.24    152.55
   1581.41    164.36
   1581.41    152.55
   1569.59    164.36
   1569.59    152.55
   1557.77    164.36
   1557.77    152.55
   1545.94    164.36
   1545.94    152.55
   1534.12    164.36
   1534.12    152.55
   1522.30    164.36
   1522.30    152.55
   1510.47    164.36
   1510.47    152.55
   1498.65    164.36
   1498.65    152.55
   1622.80    170.26
   1622.80    158.45
   1610.97    170.26
   1610.97    158.45
   1599.15    170.26
   1599.15    158.45
   1587.33    170.26
   1587.33    158.45
   1575.50    170.26
   1575.50    158.45
   1563.68    170.26
   1563.68    158.45
   1551.85    170.26
   1551.85    158.45
   1540.03    170.26
   1540.03    158.45
   1528.21    170.26
   1528.21    158.45
   1516.38    170.26
   1516.38    158.45
   1504.56    170.26
   1504.56    158.45
   1492.74    170.26
   1492.74    158.45
    650.30    173.21
    650.30    161.40
    650.30    149.60
    638.48    173.21
    638.48    161.40
    638.48    149.60
    626.66    173.21
    626.66    161.40
    626.66    149.60
    614.83    173.21
    614.83    161.40
    614.83    149.60
    603.01    173.21
    603.01    161.40
    603.01    149.60
    591.18    173.21
    591.18    161.40
    591.18    149.60
    579.36    173.21
    579.36    161.40
    579.36    149.60
    567.54    173.21
    567.54    161.40
    567.54    149.60
    555.71    173.21
    555.71    161.40
    555.71    149.60
    543.89    173.21
    543.89    161.40
    543.89    149.60
    532.07    173.21
    532.07    161.40
    532.07    149.60
    520.24    173.21
    520.24    161.40
    520.24    149.60
    508.42    173.21
    508.42    161.40
    508.42    149.60
    644.39    167.31
    644.39    155.50
    632.57    167.31
    632.57    155.50
    620.74    167.31
    620.74    155.50
    608.92    167.31
    608.92    155.50
    597.10    167.31
    597.10    155.50
    585.27    167.31
    585.27    155.50
    573.45    167.31
    573.45    155.50
    561.63    167.31
    561.63    155.50
    549.80    167.31
    549.80    155.50
    537.98    167.31
    537.98    155.50
    526.15    167.31
    526.15    155.50
    514.33    167.31
    514.33    155.50
    644.39    173.21
    644.39    161.40
    644.39    149.60
    632.57    173.21
    632.57    161.40
    632.57    149.60
    620.74    173.21
    620.74    161.40
    620.74    149.60
    608.92    173.21
    608.92    161.40
    608.92    149.60
    597.10    173.21
    597.10    161.40
    597.10    149.60
    585.27    173.21
    585.27    161.40
    585.27    149.60
    573.45    173.21
    573.45    161.40
    573.45    149.60
    561.63    173.21
    561.63    161.40
    561.63    149.60
    549.80    173.21
    549.80    161.40
    549.80    149.60
    537.98    173.21
    537.98    161.40
    537.98    149.60
    526.15    173.21
    526.15    161.40
    526.15    149.60
    514.33    173.21
    514.33    161.40
    514.33    149.60
    650.30    167.31
    650.30    155.50
    638.48    167.31
    638.48    155.50
    626.66    167.31
    626.66    155.50
    614.83    167.31
    614.83    155.50
    603.01    167.31
    603.01    155.50
    591.18    167.31
    591.18    155.50
    579.36    167.31
    579.36    155.50
    567.54    167.31
    567.54    155.50
    555.71    167.31
    555.71    155.50
    543.89    167.31
    543.89    155.50
    532.07    167.31
    532.07    155.50
    520.24    167.31
    520.24    155.50
    508.42    167.31
    508.42    155.50
    647.35    170.26
    647.35    158.45
    635.52    170.26
    635.52    158.45
    623.70    170.26
    623.70    158.45
    611.88    170.26
    611.88    158.45
    600.05    170.26
    600.05    158.45
    588.23    170.26
    588.23    158.45
    576.40    170.26
    576.40    158.45
    564.58    170.26
    564.58    158.45
    552.76    170.26
    552.76    158.45
    540.93    170.26
    540.93    158.45
    529.11    170.26
    529.11    158.45
    517.29    170.26
    517.29    158.45
    641.43    164.36
    641.43    152.55
    629.61    164.36
    629.61    152.55
    617.79    164.36
    617.79    152.55
    605.96    164.36
    605.96    152.55
    594.14    164.36
    594.14    152.55
    582.32    164.36
    582.32    152.55
    570.49    164.36
    570.49    152.55
    558.67    164.36
    558.67    152.55
    546.84    164.36
    546.84    152.55
    535.02    164.36
    535.02    152.55
    523.20    164.36
    523.20    152.55
    511.37    164.36
    511.37    152.55
    647.35    164.36
    647.35    152.55
    635.52    164.36
    635.52    152.55
    623.70    164.36
    623.70    152.55
    611.88    164.36
    611.88    152.55
    600.05    164.36
    600.05    152.55
    588.23    164.36
    588.23    152.55
    576.40    164.36
    576.40    152.55
    564.58    164.36
    564.58    152.55
    552.76    164.36
    552.76    152.55
    540.93    164.36
    540.93    152.55
    529.11    164.36
    529.11    152.55
    517.29    164.36
    517.29    152.55
    641.43    170.26
    641.43    158.45
    629.61    170.26
    629.61    158.45
    617.79    170.26
    617.79    158.45
    605.96    170.26
    605.96    158.45
    594.14    170.26
    594.14    158.45
    582.32    170.26
    582.32    158.45
    570.49    170.26
    570.49    158.45
    558.67    170.26
    558.67    158.45
    546.84    170.26
    546.84    158.45
    535.02    170.26
    535.02    158.45
    523.20    170.26
    523.20    158.45
    511.37    170.26
    511.37    158.45
   1888.83   2048.06
   1877.01   2048.06
   1853.36   2048.06
   1841.54   2048.06
   1829.71   2048.06
   1782.42   2048.06
   1746.95   2048.06
   1723.30   2048.06
   1711.47   2048.06
   1676.00   2048.06
   1652.36   2048.06
    907.47   2048.06
    895.64   2048.06
    871.99   2048.06
    860.17   2048.06
    848.35   2048.06
    801.05   2048.06
    765.58   2048.06
    741.93   2048.06
    730.11   2048.06
    694.64   2048.06
    670.99   2048.06
   1871.09   2042.16
   1800.15   2042.16
   1776.51   2042.16
   1752.86   2042.16
    889.73   2042.16
    818.79   2042.16
    795.14   2042.16
    771.49   2042.16
   1877.01   2036.25
   1853.36   2036.25
   1841.54   2036.25
   1746.95   2036.25
   1723.30   2036.25
   1699.65   2036.25
    895.64   2036.25
    871.99   2036.25
    860.17   2036.25
    765.58   2036.25
    741.93   2036.25
    718.29   2036.25
   1894.74   2030.35
   1871.09   2030.35
   1859.27   2030.35
   1823.80   2030.35
   1811.98   2030.35
   1800.15   2030.35
   1776.51   2030.35
   1764.68   2030.35
   1752.86   2030.35
    913.38   2030.35
    889.73   2030.35
    877.91   2030.35
    842.43   2030.35
    830.61   2030.35
    818.79   2030.35
    795.14   2030.35
    783.32   2030.35
    771.49   2030.35
   1888.83    170.26
   1877.01    170.26
   1853.36    170.26
   1841.54    170.26
   1829.71    170.26
   1782.42    170.26
   1746.95    170.26
   1723.30    170.26
   1711.47    170.26
   1676.00    170.26
   1652.36    170.26
    907.47    170.26
    895.64    170.26
    871.99    170.26
    860.17    170.26
    848.35    170.26
    801.05    170.26
    765.58    170.26
    741.93    170.26
    730.11    170.26
    694.64    170.26
    670.99    170.26
   1871.09    164.36
   1800.15    164.36
   1776.51    164.36
   1752.86    164.36
    889.73    164.36
    818.79    164.36
    795.14    164.36
    771.49    164.36
   1877.01    158.45
   1853.36    158.45
   1841.54    158.45
   1746.95    158.45
   1723.30    158.45
   1699.65    158.45
    895.64    158.45
    871.99    158.45
    860.17    158.45
    765.58    158.45
    741.93    158.45
    718.29    158.45
   1894.74    152.55
   1871.09    152.55
   1859.27    152.55
   1823.80    152.55
   1811.98    152.55
   1800.15    152.55
   1776.51    152.55
   1764.68    152.55
   1752.86    152.55
    913.38    152.55
    889.73    152.55
    877.91    152.55
    842.43    152.55
    830.61    152.55
    818.79    152.55
    795.14    152.55
    783.32    152.55
    771.49    152.55
   1894.74   2048.06
   1882.92   2048.06
   1859.27   2048.06
   1811.98   2048.06
   1764.68   2048.06
   1670.09   2048.06
    913.38   2048.06
    901.55   2048.06
    877.91   2048.06
    830.61   2048.06
    783.32   2048.06
    688.73   2048.06
   1888.83   2042.16
   1829.71   2042.16
   1735.12   2042.16
   1699.65   2042.16
   1676.00   2042.16
    907.47   2042.16
    848.35   2042.16
    753.76   2042.16
    718.29   2042.16
    694.64   2042.16
   1882.92   2036.25
   1823.80   2036.25
   1670.09   2036.25
    901.55   2036.25
    842.43   2036.25
    688.73   2036.25
   1782.42   2030.35
   1735.12   2030.35
   1711.47   2030.35
   1652.36   2030.35
    801.05   2030.35
    753.76   2030.35
    730.11   2030.35
    670.99   2030.35
   1894.74    170.26
   1882.92    170.26
   1859.27    170.26
   1811.98    170.26
   1764.68    170.26
   1670.09    170.26
    913.38    170.26
    901.55    170.26
    877.91    170.26
    830.61    170.26
    783.32    170.26
    688.73    170.26
   1888.83    164.36
   1829.71    164.36
   1735.12    164.36
   1699.65    164.36
   1676.00    164.36
    907.47    164.36
    848.35    164.36
    753.76    164.36
    718.29    164.36
    694.64    164.36
   1882.92    158.45
   1823.80    158.45
   1670.09    158.45
    901.55    158.45
    842.43    158.45
    688.73    158.45
   1782.42    152.55
   1735.12    152.55
   1711.47    152.55
   1652.36    152.55
    801.05    152.55
    753.76    152.55
    730.11    152.55
    670.99    152.55
   1891.79   2051.02
   1678.96   2051.02
    910.42   2051.02
    697.60   2051.02
   1732.17   2045.11
    750.80   2045.11
   1891.79   2039.21
   1678.96   2039.21
    910.42   2039.21
    697.60   2039.21
   1838.58   2033.30
    857.22   2033.30
